15 1902 5665
5 156 0.290148 -0.253337
0 152 -0.131668 0.167515
0 156 0.341658 0.151087
0 157 0.156711 0.147884
6 157 -0.279676 -0.309829
0 158 0.416489 0.269129
6 158 -0.279793 -0.309536
0 158 0.429121 -0.250898
6 153 -0.279089 -0.309536
0 158 0.255529 0.178247
0 158 0.238414 0.221039
0 159 0.415674 0.268722
6 159 -0.279309 -0.309584
0 159 0.413229 0.271167
0 160 0.483155 -0.279019
6 160 -0.280216 -0.309113
0 160 0.480221 -0.276084
0 158 0.428877 -0.251143
0 159 0.248438 -0.14404
0 159 0.244037 -0.139638
0 161 -0.0522934 -0.000258011
6 161 0.0966053 0.0963301
0 162 -0.0200198 0.0804359
6 162 -0.00799048 0.0566679
0 159 0.414207 0.271167
0 160 0.484916 -0.279605
0 157 0.36345 -0.217985
0 163 0.249025 -0.1458
6 163 -0.278698 -0.309584
0 159 0.243744 -0.140519
0 157 0.39408 -0.235591
0 157 0.362393 -0.218689
0 157 0.459566 -0.208125
0 157 0.248321 -0.144744
0 157 0.241983 -0.140519
0 157 0.364506 0.172163
0 158 0.485338 -0.212773
0 157 0.467594 -0.210238
0 158 0.241984 -0.139251
0 153 0.36356 0.16934
7 153 -0.314883 -0.302493
7 158 -0.314297 -0.302493
0 158 -0.260605 -0.31423
7 159 -0.314965 -0.302452
0 164 -0.115374 -0.0384042
7 164 0.173622 -0.0564992
0 153 0.368731 -0.219745
0 165 -0.115374 -0.0384042
7 165 0.173622 -0.0560101
0 158 0.400418 -0.237703
7 158 -0.315705 -0.303197
0 153 0.247053 -0.144321
0 158 0.449342 -0.26145
0 158 -0.219884 -0.252323
0 166 0.00521947 -0.0180657
7 166 0.0690994 0.229393
0 167 0.364533 -0.217887
8 167 0.0151063 -0.144529
0 167 0.243304 -0.0487558
0 168 -0.000174789 0.0623001
8 168 -0.115292 0.0123759
0 167 0.36433 -0.217887
0 169 0.35944 -0.214219
8 169 0.0146988 -0.144529
0 170 0.253084 -0.146974
8 170 0.0148944 -0.1458
0 170 0.248194 -0.144529
0 171 0.227411 -0.129857
8 171 0.0151878 -0.145507
0 170 0.254306 -0.148441
0 170 0.226433 -0.129368
0 167 0.235235 -0.0398714
0 171 0.495478 -0.214464
